"coin_name","coin_symbol","coin_slug","coin_price","coin_volume24h","coin_volume7d","coin_volume30d","coin_marketCap","coin_percentChange1h","coin_percentChange24h","coin_percentChange7d","coin_marketCapByTotalSupply","coin_circulatingSupply","cryptos","exchanges","market_cap","crypto_24h_volume","dominance","eth_Gas","todays_crypto_market_cap","todays_market_increase_or_decrease"
"Dai","DAI","multi-collateral-dai","0.9997692363604113","220188199.98569816","1392633522.964738","8216233649.239931","5838842152.492448","0.06178543","0.11400588","-0.02212722","5838842152.492448","5840189855.959498","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Polkadot","DOT","polkadot-new","4.676505151462778","270979268.6076233","1289747764.037044","8582532530.67716","5367539979.558639","-0.27396705","-8.51022102","-11.54740196","5910125271.43243","1147767361.6759963","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"TRON","TRX","tron","0.053474898157422714","249814539.14117453","1946383939.5016418","7082333862.212356","4921273840.862518","0.47623458","-2.48897157","-2.59592712","4921275065.889318","92029606608.5992","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Litecoin","LTC","litecoin","64.35530387760976","811081563.326479","4436409191.125402","25144490388.72067","4623756833.924376","-0.2316966","-7.00266225","-15.64042964","5405845525.71922","71847331.227241","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Solana","SOL","solana","12.37890569032542","377316929.5988699","1976597354.2354476","13654583644.862144","4537738614.093863","0.31780004","-7.77808565","-8.99080427","6639102349.538256","366570254.88450694","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Shiba Inu","SHIB","shiba-inu","8.161274004089812e-06","164465837.20763806","698144046.4514177","5222002725.231937","4481055864.493478","-0.28363729","-4.82261426","-11.62886579","4812989172.97256","549063278876301.94","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Uniswap","UNI","uniswap","5.3951672049571995","91275061.9656818","521747935.316927","3158030030.023096","4112246761.8368306","-0.01800237","-2.67761071","-11.81338643","5395167204.957199","762209326.5354977","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Avalanche","AVAX","avalanche","11.9009170312146","186280841.09912422","965158150.4022028","6111196234.050042","3702074801.8022966","0.02828592","-6.0255854","-11.23601689","4956502743.385332","311074750.97021705","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"UNUS SED LEO","LEO","unus-sed-leo","3.8624382938014983","2767614.80209089","13607081.18192272","89043616.69609088","3684588962.2420926","0.09679545","4.70745487","2.82488871","3805426788.8155947","953954130.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Wrapped Bitcoin","WBTC","wrapped-bitcoin","16671.393290751203","139835902.34194827","937469004.7449251","5703034243.638218","3101043738.0516515","-0.02430196","-1.81452382","-2.60486322","3101043738.0516515","186009.87235854","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
